Time	Pleth	SPO2	PR	SI
12:24:45	67	98	53	6
12:24:45	66	98	53	6
12:24:45	65	98	53	6
12:24:45	63	98	53	6
12:24:45	62	98	53	6
12:24:45	61	98	53	6
12:24:45	60	98	53	6
12:24:45	58	98	53	6
12:24:45	57	98	53	6
12:24:45	56	98	53	6
12:24:45	55	98	53	6
12:24:45	54	98	53	6
12:24:45	53	98	53	6
12:24:45	52	98	53	6
12:24:45	51	98	53	6
12:24:45	50	98	53	6
12:24:45	49	98	53	6
12:24:45	48	98	53	6
12:24:45	48	98	53	6
12:24:45	47	98	53	6
12:24:45	46	98	53	6
12:24:45	45	98	53	6
12:24:45	44	98	53	6
12:24:45	43	98	53	6
12:24:45	42	98	53	6
12:24:45	41	98	53	6
12:24:45	40	98	53	6
12:24:45	39	98	53	6
12:24:45	39	98	53	6
12:24:45	38	98	53	6
12:24:45	37	98	53	6
12:24:45	36	98	53	6
12:24:45	35	98	53	6
12:24:45	34	98	53	6
12:24:45	33	98	53	6
12:24:45	32	98	53	6
12:24:45	31	98	53	6
12:24:45	30	98	53	6
12:24:45	29	98	53	6
12:24:45	28	98	53	6
12:24:45	27	98	53	6
12:24:45	27	98	53	6
12:24:45	26	98	53	6
12:24:45	25	98	53	6
12:24:45	24	98	53	6
12:24:45	23	98	53	6
12:24:45	22	98	53	6
12:24:45	22	98	53	6
12:24:45	21	98	53	6
12:24:45	20	98	53	6
12:24:45	19	98	53	6
12:24:45	18	98	53	6
12:24:45	18	98	53	6
12:24:45	17	98	53	6
12:24:45	16	98	53	6
12:24:45	15	98	53	6
12:24:45	15	98	53	6
12:24:45	14	98	53	6
12:24:45	13	98	53	6
12:24:45	12	98	53	6
12:24:45	12	98	53	6
12:24:45	12	98	53	6
12:24:45	12	98	53	6
12:24:45	13	98	53	6
12:24:45	15	98	53	6
12:24:46	18	98	53	6
12:24:46	22	98	53	6
12:24:46	26	98	53	6
12:24:46	32	98	53	6
12:24:46	38	98	53	6
12:24:46	45	98	53	6
12:24:46	52	98	53	6
12:24:46	58	98	53	6
12:24:46	65	98	53	6
12:24:46	71	98	53	6
12:24:46	77	98	53	6
12:24:46	82	98	53	6
12:24:46	86	98	53	6
12:24:46	89	98	53	6
12:24:46	92	98	53	6
12:24:46	94	98	53	6
12:24:46	95	98	53	6
12:24:46	95	98	53	6
12:24:46	95	98	53	6
12:24:46	94	98	53	6
12:24:46	94	98	53	6
12:24:46	94	98	53	6
12:24:46	93	98	53	6
12:24:46	92	98	53	6
12:24:46	91	98	53	6
12:24:46	90	98	53	6
12:24:46	89	98	53	6
12:24:46	88	98	53	6
12:24:46	87	98	53	6
12:24:46	86	98	53	6
12:24:46	84	98	53	6
12:24:46	83	98	53	6
12:24:46	82	98	53	6
12:24:46	81	98	53	6
12:24:46	80	98	53	6
12:24:46	79	98	53	6
12:24:46	78	98	53	6
12:24:46	77	98	53	6
12:24:46	76	98	53	6
12:24:46	75	98	53	6
12:24:46	75	98	53	6
12:24:46	74	98	53	6
12:24:46	73	98	53	6
12:24:46	72	98	53	6
12:24:46	71	98	53	6
12:24:46	70	98	53	6
12:24:46	69	98	53	6
12:24:46	68	98	53	6
12:24:46	66	98	53	6
12:24:46	65	98	53	6
12:24:46	64	98	53	6
12:24:46	62	98	53	6
12:24:46	61	98	53	6
12:24:46	59	98	53	6
12:24:46	58	98	53	6
12:24:46	57	98	53	6
12:24:46	56	98	53	6
12:24:46	54	98	53	6
12:24:46	53	98	53	6
12:24:46	52	98	53	6
12:24:46	51	98	53	6
12:24:46	50	98	53	6
12:24:46	49	98	53	6
12:24:46	49	98	53	6
12:24:46	48	98	53	6
12:24:46	47	98	53	6
12:24:46	46	98	53	6
12:24:46	45	98	53	6
12:24:46	45	98	53	6
12:24:46	44	98	53	6
12:24:46	43	98	53	6
12:24:46	42	98	53	6
12:24:46	41	98	53	6
12:24:46	41	98	53	6
12:24:46	40	98	53	6
12:24:46	39	98	53	6
12:24:46	38	98	53	6
12:24:46	37	98	53	6
12:24:46	36	98	53	6
12:24:46	35	98	53	6
12:24:46	34	98	53	6
12:24:46	34	98	53	6
12:24:46	33	98	53	6
12:24:46	32	98	53	6
12:24:46	31	98	53	6
12:24:46	30	98	53	6
12:24:46	30	98	53	6
12:24:46	29	98	53	6
12:24:46	28	98	53	6
12:24:46	28	98	53	6
12:24:46	27	98	53	6
12:24:46	26	98	53	6
12:24:46	25	98	53	6
12:24:46	24	98	53	6
12:24:46	24	98	53	6
12:24:46	23	98	53	6
12:24:46	23	98	53	6
12:24:46	24	98	53	6
12:24:46	25	98	53	6
12:24:46	27	97	52	6
12:24:46	30	97	52	6
12:24:47	35	97	52	6
12:24:47	40	97	52	6
12:24:47	45	97	52	6
12:24:47	52	97	52	6
12:24:47	59	97	52	6
12:24:47	66	97	52	6
12:24:47	73	97	52	6
12:24:47	79	97	52	6
12:24:47	86	97	52	6
12:24:47	91	97	52	6
12:24:47	95	97	52	6
12:24:47	95	97	52	6
12:24:47	95	97	52	6
12:24:47	95	97	52	6
12:24:47	95	97	52	6
12:24:47	95	97	52	6
12:24:47	94	97	52	6
12:24:47	94	97	52	6
12:24:47	94	97	52	6
12:24:47	93	97	52	6
12:24:47	92	97	52	6
12:24:47	91	97	52	6
12:24:47	90	97	52	6
12:24:47	89	97	52	6
12:24:47	87	97	52	6
12:24:47	86	97	52	6
12:24:47	85	97	52	6
12:24:47	83	97	52	6
12:24:47	82	97	52	6
12:24:47	80	97	52	6
12:24:47	79	97	52	6
12:24:47	78	97	52	6
12:24:47	77	97	52	6
12:24:47	76	97	52	6
12:24:47	75	97	52	6
12:24:47	74	97	52	6
12:24:47	74	97	52	6
12:24:47	73	97	52	6
12:24:47	72	97	52	6
12:24:47	71	97	52	6
12:24:47	71	97	52	6
12:24:47	70	97	52	6
12:24:47	69	97	52	6
12:24:47	68	97	52	6
12:24:47	67	97	52	6
12:24:47	65	97	52	6
12:24:47	64	97	52	6
12:24:47	63	97	52	6
12:24:47	61	97	52	6
12:24:47	60	97	52	6
12:24:47	59	97	52	6
12:24:47	57	97	52	6
12:24:47	56	97	52	6
12:24:47	55	97	52	6
12:24:47	54	97	52	6
12:24:47	53	97	52	6
12:24:47	51	97	52	6
12:24:47	50	97	52	6
12:24:47	49	97	52	6
12:24:47	48	97	52	6
12:24:47	47	97	52	6
12:24:47	47	97	52	6
12:24:47	46	97	52	6
12:24:47	45	97	52	6
12:24:47	44	97	52	6
12:24:47	43	97	52	6
12:24:47	42	97	52	6
12:24:47	42	97	52	6
12:24:47	41	97	52	6
12:24:47	40	97	52	6
12:24:47	39	97	52	6
12:24:47	38	97	52	6
12:24:47	37	97	52	6
12:24:47	36	97	52	6
12:24:47	35	97	52	6
12:24:47	34	97	52	6
12:24:47	34	97	52	6
12:24:47	33	97	52	6
12:24:47	32	97	52	6
12:24:47	31	97	52	6
12:24:47	30	97	52	6
12:24:47	29	97	52	6
12:24:47	29	97	52	6
12:24:47	28	97	52	6
12:24:47	27	97	52	6
12:24:47	27	97	52	6
12:24:47	26	97	52	6
12:24:47	26	97	52	6
12:24:47	25	97	52	6
12:24:47	25	97	52	6
12:24:47	24	97	52	6
12:24:47	23	97	52	6
12:24:47	23	97	52	6
12:24:47	22	97	52	6
12:24:47	22	97	52	6
12:24:47	21	97	52	6
12:24:47	21	97	52	6
12:24:47	21	97	52	6
12:24:47	23	97	52	6
12:24:47	24	97	52	6
12:24:47	27	97	52	6
12:24:48	30	97	52	6
12:24:48	35	97	52	6
12:24:48	40	97	52	6
12:24:48	46	97	52	6
12:24:48	52	97	52	6
12:24:48	58	97	52	6
12:24:48	64	97	52	6
12:24:48	71	97	52	6
12:24:48	76	97	52	6
12:24:48	81	97	52	6
12:24:48	86	97	52	6
12:24:48	89	97	52	6
12:24:48	92	97	52	6
12:24:48	94	97	52	6
12:24:48	95	97	52	6
12:24:48	95	97	52	6
12:24:48	95	97	52	6
12:24:48	94	97	52	6
12:24:48	94	97	52	6
12:24:48	94	97	52	6
12:24:48	93	97	52	6
12:24:48	92	97	52	6
12:24:48	91	97	52	6
12:24:48	90	97	52	6
12:24:48	89	97	52	6
12:24:48	88	97	52	6
12:24:48	86	97	52	6
12:24:48	85	97	52	6
12:24:48	83	97	52	6
12:24:48	82	97	52	6
12:24:48	80	97	52	6
12:24:48	79	97	52	6
12:24:48	78	97	52	6
12:24:48	76	97	52	6
12:24:48	75	97	52	6
12:24:48	74	97	52	6
12:24:48	73	97	52	6
12:24:48	72	97	52	6
12:24:48	71	97	52	6
12:24:48	71	97	52	6
12:24:48	70	97	52	6
12:24:48	69	97	52	6
12:24:48	68	97	52	6
12:24:48	67	97	52	6
12:24:48	66	97	52	6
12:24:48	65	97	52	6
12:24:48	64	97	52	6
12:24:48	62	97	52	6
12:24:48	61	97	52	6
12:24:48	60	97	52	6
12:24:48	58	97	52	6
12:24:48	57	97	52	6
12:24:48	56	97	52	6
12:24:48	54	97	52	6
12:24:48	53	97	52	6
12:24:48	52	97	52	6
12:24:48	51	97	52	6
12:24:48	50	97	52	6
12:24:48	49	97	52	6
12:24:48	48	97	52	6
12:24:48	47	97	52	6
12:24:48	46	97	52	6
12:24:48	45	97	52	6
12:24:48	44	97	52	6
12:24:48	43	97	52	6
12:24:48	42	97	52	6
12:24:48	41	97	52	6
12:24:48	40	97	52	6
12:24:48	39	97	52	6
12:24:48	38	97	52	6
12:24:48	37	97	52	6
12:24:48	36	97	52	6
12:24:48	35	97	52	6
12:24:48	34	97	52	6
12:24:48	33	97	52	6
12:24:48	32	97	52	6
12:24:48	31	97	52	6
12:24:48	30	97	52	6
12:24:48	29	97	52	6
12:24:48	28	97	52	6
12:24:48	27	97	52	6
12:24:48	26	97	52	6
12:24:48	25	97	52	6
12:24:48	24	97	52	6
12:24:48	23	97	52	6
12:24:48	22	97	52	6
12:24:48	22	97	52	6
12:24:48	21	97	52	6
12:24:48	20	97	52	6
12:24:48	20	97	52	6
12:24:48	19	97	52	6
12:24:48	19	97	52	6
12:24:48	18	97	52	6
12:24:48	18	97	52	6
12:24:48	18	97	52	6
12:24:48	17	97	52	6
12:24:48	17	97	52	6
12:24:48	17	97	53	6
12:24:49	16	97	53	6
12:24:49	16	97	53	6
12:24:49	16	97	53	6
12:24:49	15	97	53	6
12:24:49	15	97	53	6
12:24:49	14	97	53	6
12:24:49	13	97	53	6
12:24:49	13	97	53	6
12:24:49	12	97	53	6
12:24:49	12	97	53	6
12:24:49	12	97	53	6
12:24:49	12	97	53	6
12:24:49	13	97	53	6
12:24:49	14	97	53	6
12:24:49	17	97	53	6
12:24:49	20	97	53	6
12:24:49	24	97	53	6
12:24:49	29	97	53	6
12:24:49	34	97	53	6
12:24:49	40	97	53	6
12:24:49	46	97	53	6
12:24:49	52	97	53	6
12:24:49	58	97	53	6
12:24:49	64	97	53	6
12:24:49	68	97	53	6
12:24:49	73	97	53	6
12:24:49	76	97	53	6
12:24:49	79	97	53	6
12:24:49	81	97	53	6
12:24:49	83	97	53	6
12:24:49	84	97	53	6
12:24:49	85	97	53	6
12:24:49	85	97	53	6
12:24:49	85	97	53	6
12:24:49	85	97	53	6
12:24:49	84	97	53	6
12:24:49	84	97	53	6
12:24:49	83	97	53	6
12:24:49	82	97	53	6
12:24:49	81	97	53	6
12:24:49	79	97	53	6
12:24:49	78	97	53	6
12:24:49	76	97	53	6
12:24:49	75	97	53	6
12:24:49	73	97	53	6
12:24:49	72	97	53	6
12:24:49	71	97	53	6
12:24:49	69	97	53	6
12:24:49	68	97	53	6
12:24:49	67	97	53	6
12:24:49	66	97	53	6
12:24:49	65	97	53	6
12:24:49	64	97	53	6
12:24:49	63	97	53	6
12:24:49	62	97	53	6
12:24:49	61	97	53	6
12:24:49	60	97	53	6
12:24:49	59	97	53	6
12:24:49	58	97	53	6
12:24:49	57	97	53	6
12:24:49	56	97	53	6
12:24:49	55	97	53	6
12:24:49	53	97	53	6
12:24:49	52	97	53	6
12:24:49	51	97	53	6
12:24:49	50	97	53	6
12:24:49	48	97	53	6
12:24:49	47	97	53	6
12:24:49	45	97	53	6
12:24:49	44	97	53	6
12:24:49	43	97	53	6
12:24:49	41	97	53	6
12:24:49	40	97	53	6
12:24:49	39	97	53	6
12:24:49	38	97	53	6
12:24:49	36	97	53	6
12:24:49	35	97	53	6
12:24:49	34	97	53	6
12:24:49	33	97	53	6
12:24:49	32	97	53	6
12:24:49	31	97	53	6
12:24:49	30	97	53	6
12:24:49	29	97	53	6
12:24:49	27	97	53	6
12:24:49	26	97	53	6
12:24:49	25	97	53	6
12:24:49	24	97	53	6
12:24:49	23	97	53	6
12:24:49	21	97	53	6
12:24:49	20	97	53	6
12:24:49	19	97	53	6
12:24:49	18	97	53	6
12:24:49	17	97	53	6
12:24:49	16	97	53	6
12:24:49	15	97	53	6
12:24:49	14	97	53	6
12:24:49	13	97	53	6
12:24:49	13	97	53	6
12:24:49	12	97	53	6
12:24:49	11	97	53	5
12:24:50	10	97	53	5
12:24:50	9	97	53	5
12:24:50	9	97	53	5
12:24:50	8	97	53	5
12:24:50	7	97	53	5
12:24:50	7	97	53	5
12:24:50	6	97	53	5
12:24:50	6	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	5	97	53	5
12:24:50	6	97	53	5
12:24:50	8	97	53	5
12:24:50	10	97	53	5
12:24:50	13	97	53	5
12:24:50	17	97	53	5
12:24:50	22	97	53	5
12:24:50	27	97	53	5
12:24:50	32	97	53	5
12:24:50	38	97	53	5
12:24:50	43	97	53	5
12:24:50	49	97	53	5
12:24:50	54	97	53	5
12:24:50	58	97	53	5
12:24:50	62	97	53	5
12:24:50	65	97	53	5
12:24:50	67	97	53	5
12:24:50	69	97	53	5
12:24:50	70	97	53	5
12:24:50	70	97	53	5
12:24:50	71	97	53	5
12:24:50	70	97	53	5
12:24:50	70	97	53	5
12:24:50	69	97	53	5
12:24:50	68	97	53	5
12:24:50	67	97	53	5
12:24:50	66	97	53	5
12:24:50	64	97	53	5
12:24:50	63	97	53	5
12:24:50	62	97	53	5
12:24:50	61	97	53	5
12:24:50	60	97	53	5
12:24:50	59	97	53	5
12:24:50	58	97	53	5
12:24:50	57	97	53	5
12:24:50	57	97	53	5
12:24:50	56	97	53	5
12:24:50	56	97	53	5
12:24:50	55	97	53	5
12:24:50	55	97	53	5
12:24:50	55	97	53	5
12:24:50	54	97	53	5
12:24:50	54	97	53	5
12:24:50	53	97	53	5
12:24:50	53	97	53	5
12:24:50	52	97	53	5
12:24:50	51	97	53	5
12:24:50	50	97	53	5
12:24:50	49	97	53	5
12:24:50	48	97	53	5
12:24:50	47	97	53	5
12:24:50	46	97	53	5
12:24:50	44	97	53	5
12:24:50	43	97	53	5
12:24:50	42	97	53	5
12:24:50	41	97	53	5
12:24:50	39	97	53	5
12:24:50	38	97	53	5
12:24:50	37	97	53	5
12:24:50	36	97	53	5
12:24:50	35	97	53	5
12:24:50	34	97	53	5
12:24:50	34	97	53	5
12:24:50	33	97	53	5
12:24:50	32	97	53	5
12:24:50	31	97	53	5
12:24:50	31	97	53	5
12:24:50	30	97	53	5
12:24:50	29	97	53	5
