Time	Pleth	SPO2	PR	SI
12:25:44	54	99	100	4
12:25:44	55	99	100	4
12:25:44	56	99	100	4
12:25:44	57	99	100	4
12:25:44	58	99	100	4
12:25:44	58	99	100	4
12:25:44	59	99	100	4
12:25:44	59	99	100	4
12:25:44	59	99	100	4
12:25:44	58	99	100	4
12:25:44	58	99	100	4
12:25:44	57	99	100	4
12:25:44	57	99	100	4
12:25:44	56	99	100	4
12:25:44	56	99	100	4
12:25:44	55	99	100	4
12:25:44	54	99	100	4
12:25:44	54	99	100	4
12:25:44	53	99	100	4
12:25:44	53	99	100	4
12:25:44	53	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	52	99	100	4
12:25:44	51	99	100	4
12:25:44	51	99	100	4
12:25:44	51	99	100	4
12:25:44	51	99	100	4
12:25:44	50	99	100	4
12:25:44	50	99	100	4
12:25:44	50	99	100	4
12:25:44	49	99	100	4
12:25:44	49	99	100	4
12:25:44	49	99	100	4
12:25:44	48	99	100	4
12:25:44	48	99	100	4
12:25:44	48	99	100	4
12:25:44	48	99	100	4
12:25:44	48	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:44	47	99	100	4
12:25:45	47	99	100	4
12:25:45	47	99	100	4
12:25:45	47	99	100	4
12:25:45	47	99	100	4
12:25:45	48	99	100	4
12:25:45	48	99	100	4
12:25:45	49	99	100	4
12:25:45	51	99	100	4
12:25:45	52	99	100	4
12:25:45	53	99	100	4
12:25:45	55	99	100	4
12:25:45	56	99	100	4
12:25:45	58	99	100	4
12:25:45	59	99	100	4
12:25:45	60	99	100	4
12:25:45	61	99	100	4
12:25:45	62	99	100	4
12:25:45	62	99	100	4
12:25:45	63	99	100	4
12:25:45	63	99	100	4
12:25:45	63	99	100	4
12:25:45	62	99	100	3
12:25:45	62	99	100	3
12:25:45	62	99	100	3
12:25:45	61	99	100	3
12:25:45	61	99	100	3
12:25:45	60	99	100	3
12:25:45	60	99	100	3
12:25:45	60	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	59	99	100	3
12:25:45	58	99	100	3
12:25:45	58	99	100	3
12:25:45	58	99	100	3
12:25:45	57	99	100	3
12:25:45	57	99	100	3
12:25:45	57	99	100	3
12:25:45	57	99	100	3
12:25:45	56	99	100	3
12:25:45	56	99	100	3
12:25:45	56	99	100	3
12:25:45	55	99	100	3
12:25:45	55	99	100	3
12:25:45	55	99	100	3
12:25:45	55	99	100	3
12:25:45	55	99	100	3
12:25:45	55	99	100	3
12:25:45	54	99	100	3
12:25:45	54	99	100	3
12:25:45	54	99	100	3
12:25:45	54	99	100	3
12:25:45	53	99	100	3
12:25:45	53	99	100	3
12:25:45	53	99	100	3
12:25:45	53	99	100	3
12:25:45	53	99	100	3
12:25:45	54	99	100	3
12:25:45	54	99	100	3
12:25:45	55	99	100	3
12:25:45	56	99	100	3
12:25:45	58	99	100	3
12:25:45	59	99	100	3
12:25:45	61	99	100	3
12:25:45	62	99	100	3
12:25:45	64	99	100	3
12:25:45	65	99	100	3
12:25:45	66	99	100	3
12:25:45	67	99	100	3
12:25:45	67	99	100	3
12:25:45	68	99	100	3
12:25:45	68	99	100	3
12:25:45	68	99	100	3
12:25:45	67	99	100	3
12:25:45	66	99	100	3
12:25:45	66	99	100	3
12:25:45	65	99	100	3
12:25:45	64	99	100	3
12:25:45	62	99	100	3
12:25:45	61	99	100	3
12:25:45	60	99	100	3
12:25:45	60	99	100	3
12:25:45	59	99	100	3
12:25:45	58	99	100	3
12:25:45	58	99	100	3
12:25:45	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	57	99	100	3
12:25:46	56	99	100	3
12:25:46	56	99	100	3
12:25:46	55	99	100	3
12:25:46	55	99	100	3
12:25:46	54	99	100	3
12:25:46	54	99	100	3
12:25:46	53	99	100	3
12:25:46	53	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	51	99	100	3
12:25:46	51	99	100	3
12:25:46	50	99	100	3
12:25:46	50	99	100	3
12:25:46	50	99	100	3
12:25:46	50	99	100	3
12:25:46	50	99	100	3
12:25:46	50	99	100	3
12:25:46	50	99	100	3
12:25:46	51	99	100	3
12:25:46	52	99	100	3
12:25:46	53	99	100	3
12:25:46	54	99	100	3
12:25:46	56	99	100	3
12:25:46	57	99	100	3
12:25:46	59	99	100	3
12:25:46	60	99	100	3
12:25:46	61	99	100	3
12:25:46	62	99	100	3
12:25:46	63	99	100	3
12:25:46	63	99	100	3
12:25:46	64	99	100	3
12:25:46	64	99	100	3
12:25:46	63	99	100	3
12:25:46	63	99	100	3
12:25:46	62	99	100	3
12:25:46	61	99	100	3
12:25:46	60	99	100	3
12:25:46	58	99	100	3
12:25:46	57	99	100	3
12:25:46	56	99	100	3
12:25:46	55	99	100	3
12:25:46	54	99	100	3
12:25:46	54	99	100	3
12:25:46	53	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	52	99	100	3
12:25:46	51	99	100	3
12:25:46	51	99	100	3
12:25:46	51	99	100	3
12:25:46	50	99	100	3
12:25:46	50	99	100	3
12:25:46	49	99	100	3
12:25:46	49	99	100	3
12:25:46	48	99	100	3
12:25:46	48	99	100	3
12:25:46	47	99	100	3
12:25:46	47	99	100	3
12:25:46	46	99	100	3
12:25:46	46	99	100	3
12:25:46	45	99	100	3
12:25:46	45	99	100	3
12:25:46	44	99	100	3
12:25:46	44	99	100	3
12:25:46	44	99	100	3
12:25:46	44	99	100	3
12:25:46	45	99	100	3
12:25:46	45	99	100	3
12:25:46	46	99	100	3
12:25:46	47	99	100	3
12:25:46	48	99	100	3
12:25:46	50	99	100	3
12:25:46	51	99	100	3
12:25:46	53	99	100	3
12:25:46	54	99	100	3
12:25:46	55	99	100	3
12:25:47	56	99	100	3
12:25:47	57	99	100	3
12:25:47	57	99	100	3
